code,name,state
5200050,abadia de goias,GO
3100104,abadia dos dourados,MG
5200100,abadiania,GO
1500107,abaetetuba,PA
3100203,abaete,MG
2300101,abaiara,CE
2900207,abare,BA
4100103,abatia,PR
2900108,abaira,BA
4200051,abdon batista,SC
1500131,abel figueiredo,PA
4200101,abelardo luz,SC
3100302,abre campo,MG
2600054,abreu e lima,PE
1700251,abreulandia,TO
3100401,acaiaca,MG
2900306,acajutiba,BA
2300150,acarape,CE
2300200,acarau,CE
2400109,acari,RN
1500206,acara,PA
2200053,acaua,PI
4300034,acegua,RS
2300309,acopiara,CE
5100102,acorizal,MT
1200013,acrelandia,AC
5200134,acreuna,GO
3500105,adamantina,SP
5200159,adelandia,GO
3500204,adolfo,SP
4100202,adrianopolis,PR
2900355,adustina,BA
2600104,afogados da ingazeira,PE
2400307,afonso bezerra,RN
3200102,afonso claudio,ES
2100105,afonso cunha,MA
2600203,afranio,PE
1500305,afua,PA
2600302,agrestina,PE
2200103,agricolandia,PI
4200200,agrolandia,SC
4200309,agronomica,SC
3100807,aguanil,MG
3500303,aguai,SP
4300109,agudo,RS
3500709,agudos,SP
4100301,agudos do sul,PR
2500205,aguiar,PB
1700301,aguiarnopolis,TO
3101102,aimores,MG
2900603,aiquara,BA
2300408,aiuaba,CE
3101201,aiuruoca,MG
4300208,ajuricaba,RS
3101300,alagoa,MG
2500304,alagoa grande,PB
2500403,alagoa nova,PB
2500502,alagoinha,PB
2600609,alagoinha,PE
2200251,alagoinha do piaui,PI
2900702,alagoinhas,BA
3500758,alambari,SP
3101409,albertina,MG
2500536,alcantil,PB
5000252,alcinopolis,MS
2900801,alcobaca,BA
2100204,alcantara,MA
2300507,alcantaras,CE
2100303,aldeias altas,MA
4300307,alecrim,RS
3200201,alegre,ES
4300406,alegrete,RS
2200277,alegrete do piaui,PI
4300455,alegria,RS
1500404,alenquer,PA
2400505,alexandria,RN
5200308,alexania,GO
3101607,alfenas,MG
3200300,alfredo chaves,ES
3500808,alfredo marcondes,SP
3101631,alfredo vasconcelos,MG
4200705,alfredo wagner,SC
2500577,algodao de jandaira,PB
2500601,alhandra,PB
2600708,alianca,PE
1700350,alianca do tocantins,TO
2900900,almadina,BA
1700400,almas,TO
1500503,almeirim,PA
3101706,almenara,MG
2400604,almino afonso,RN
4100400,almirante tamandare,PR
4300471,almirante tamandare do sul,RS
5200506,aloandia,GO
3101805,alpercata,MG
4300505,alpestre,RS
3101904,alpinopolis,MG
5100250,alta floresta,MT
1100015,alta floresta d oeste,RO
3500907,altair,SP
1500602,altamira,PA
2100402,altamira do maranhao,MA
4100459,altamira do parana,PR
2300606,altaneira,CE
3102001,alterosa,MG
2600807,altinho,PE
3501004,altinopolis,SP
1400050,alto alegre,RR
3501103,alto alegre,SP
4300554,alto alegre,RS
2100436,alto alegre do maranhao,MA
2100477,alto alegre do pindare,MA
1100379,alto alegre dos parecis,RO
5100300,alto araguaia,MT
4200754,alto bela vista,SC
5100359,alto boa vista,MT
3102050,alto caparao,MG
4300570,alto feliz,RS
5100409,alto garcas,MT
5200555,alto horizonte,GO
3153509,alto jequitiba,MG
2200301,alto longa,PI
5100508,alto paraguai,MT
4100608,alto parana,PR
1100403,alto paraiso,RO
4128625,alto paraiso,PR
5200605,alto paraiso de goias,GO
2100501,alto parnaiba,MA
4100707,alto piquiri,PR
3102100,alto rio doce,MG
3200359,alto rio novo,ES
2300705,alto santo,CE
5100607,alto taquari,MT
2400703,alto do rodrigues,RN
2200400,altos,PI
4100509,altonia,PR
3501152,aluminio,SP
3102209,alvarenga,MG
1300029,alvaraes,AM
3501509,alvinlandia,SP
3102308,alvinopolis,MG
1700707,alvorada,TO
4300604,alvorada,RS
1100346,alvorada d oeste,RO
3102407,alvorada de minas,MG
2200459,alvorada do gurgueia,PI
5200803,alvorada do norte,GO
4100806,alvorada do sul,PR
3101508,alem paraiba,MG
1400027,amajari,RR
5000609,amambai,MS
4100905,amapora,PR
1600105,amapa,AP
2100550,amapa do maranhao,MA
2600906,amaraji,PE
4300638,amaral ferrador,RS
5200829,amaralina,GO
2200509,amarante,PI
2100600,amarante do maranhao,MA
2901007,amargosa,BA
1300060,amatura,AM
3501608,americana,SP
5200852,americano do brasil,GO
4300646,ametista do sul,RS
2300754,amontada,CE
5200902,amorinopolis,GO
2500734,amparo,PB
3501905,amparo,SP
3102506,amparo do serra,MG
2800100,amparo do sao francisco,SE
4101002,ampere,PR
2901106,amelia rodrigues,BA
2901155,america dourada,BA
3501707,americo brasiliense,SP
3501806,americo de campos,SP
2700201,anadia,AL
2901205,anage,BA
4101051,anahy,PR
2100709,anajatuba,MA
1500701,anajas,PA
3502002,analandia,SP
1300086,anama,AM
1500800,ananindeua,PA
1701002,ananas,TO
1500859,anapu,PA
2100808,anapurus,MA
5000708,anastacio,MS
5000807,anaurilandia,MS
3200409,anchieta,ES
4200804,anchieta,SC
2901304,andarai,BA
4101101,andira,PR
2901353,andorinha,BA
3102605,andradas,MG
3502101,andradina,SP
3102803,andrelandia,MG
4300661,andre da rocha,RS
3502200,angatuba,SP
2601003,angelim,PE
4200903,angelina,SC
3102852,angelandia,MG
2901403,angical,BA
2200608,angical do piaui,PI
1701051,angico,TO
2400802,angicos,RN
3300100,angra dos reis,RJ
2901502,anguera,BA
5000856,angelica,MS
5201207,anhanguera,GO
3502309,anhembi,SP
3502408,anhumas,SP
5201306,anicuns,GO
4201000,anita garibaldi,SC
4201109,anitapolis,SC
1300102,anori,AM
4300703,anta gorda,RS
2901601,antas,BA
4101200,antonina,PR
2300804,antonina do norte,CE
2200806,antonio almeida,PI
2901700,antonio cardoso,BA
3102902,antonio carlos,MG
4201208,antonio carlos,SC
3103009,antonio dias,MG
2901809,antonio goncalves,BA
5000906,antonio joao,MS
2400901,antonio martins,RN
4101309,antonio olinto,PR
4300802,antonio prado,RS
3103108,antonio prado de minas,MG
5201108,anapolis,GO
2200707,anisio de abreu,PI
2500775,aparecida,PB
3502507,aparecida,SP
3502606,aparecida d oeste,SP
5201405,aparecida de goiania,GO
5201454,aparecida do rio doce,GO
1701101,aparecida do rio negro,TO
5001003,aparecida do taboado,MS
3300159,aperibe,RJ
3200508,apiaca,ES
5100805,apiacas,MT
3502705,apiai,SP
2100832,apicum acu,MA
4201257,apiuna,SC
2401008,apodi,RN
2901908,apora,BA
5201504,apore,GO
2901957,apuarema,BA
4101408,apucarana,PR
2300903,apuiares,CE
1300144,apui,AM
2800209,aquidaba,SE
5001102,aquidauana,MS
2301000,aquiraz,CE
4201273,arabuta,SC
2800308,aracaju,SE
2301109,aracati,CE
2902005,aracatu,BA
2902104,araci,BA
3103306,aracitaba,MG
2301208,aracoiaba,CE
3200607,aracruz,ES
5201702,aragarcas,GO
5201801,aragoiania,GO
1701309,aragominas,TO
1701903,araguacema,TO
5101001,araguaiana,MT
5101209,araguainha,MT
1702158,araguana,TO
2100873,araguana,MA
5202155,araguapaz,GO
3103504,araguari,MG
1702208,araguatins,TO
1702000,araguacu,TO
1702109,araguaina,TO
2100907,araioses,MA
5001243,aral moreira,MS
2902203,aramari,BA
4300851,arambare,RS
2100956,arame,MA
3503000,aramina,SP
3503109,arandu,SP
3103603,arantina,MG
3503158,arapei,SP
2700300,arapiraca,AL
1702307,arapoema,TO
3103702,araponga,MG
4101507,arapongas,PR
3103751,arapora,MG
4101606,arapoti,PR
5101258,araputanga,MT
3103801,arapua,MG
4101655,arapua,PR
4201307,araquari,SC
2500908,arara,PB
4201406,ararangua,SC
3503208,araraquara,SP
3503307,araras,SP
2301257,ararenda,CE
2101004,arari,MA
4300877,ararica,RS
2301307,araripe,CE
2601102,araripina,PE
3300209,araruama,RJ
2501005,araruna,PB
4101705,araruna,PR
2902252,arataca,BA
4300901,aratiba,RS
2301406,aratuba,CE
2902302,aratuipe,BA
4101804,araucaria,PR
2800407,araua,SE
3104007,araxa,MG
2500809,aracagi,PB
3502754,aracariguama,SP
3502804,aracatuba,SP
3103207,aracai,MG
2601052,aracoiaba,PE
3502903,aracoiaba da serra,SP
5201603,aracu,GO
3103405,aracuai,MG
2902054,aracas,BA
3103900,araujos,MG
3104106,arceburgo,MG
3503356,arco iris,SP
3104205,arcos,MG
2601201,arcoverde,PE
3104304,areado,MG
3300225,areal,RJ
3503406,arealva,SP
2501104,areia,PB
2401107,areia branca,RN
2800506,areia branca,SE
2501153,areia de baraunas,PB
2501203,areial,PB
3503505,areias,SP
3503604,areiopolis,SP
5101308,arenapolis,MT
5202353,arenopolis,GO
3104403,argirita,MG
3104452,aricanduva,MG
3104502,arinos,MG
5101407,aripuana,MT
1100023,ariquemes,RO
3503703,ariranha,SP
4101853,ariranha do ivai,PR
4201505,armazem,SC
3300233,armacao dos buzios,RJ
2301505,arneiroz,CE
2200905,aroazes,PI
2501302,aroeiras,PB
2200954,aroeiras do itaim,PI
2201002,arraial,PI
3300258,arraial do cabo,RJ
1702406,arraias,TO
4301305,arroio grande,RS
4201604,arroio trinta,SC
4301008,arroio do meio,RS
4301073,arroio do padre,RS
4301057,arroio do sal,RS
4301206,arroio do tigre,RS
4301107,arroio dos ratos,RS
3503802,artur nogueira,SP
5202502,aruana,GO
3503901,aruja,SP
4201653,arvoredo,SC
4301404,arvorezinha,RS
2401206,ares,RN
4201703,ascurra,SC
3503950,aspasia,SP
2301604,assare,CE
4101903,assai,PR
3504008,assis,SP
1200054,assis brasil,AC
4102000,assis chateaubriand,PR
2501351,assuncao,PB
2201051,assuncao do piaui,PI
3104601,astolfo dutra,MG
4102109,astorga,PR
2700409,atalaia,AL
4102208,atalaia,PR
1300201,atalaia do norte,AM
4201802,atalanta,SC
3104700,ataleia,MG
3504107,atibaia,SP
3200706,atilio vivacqua,ES
1702554,augustinopolis,TO
1500909,augusto correa,PA
4301503,augusto pestana,RS
3104809,augusto de lima,MG
2902401,aurelino leal,BA
3504206,auriflama,SP
5202601,aurilandia,GO
2301703,aurora,CE
4201901,aurora,SC
1500958,aurora do para,PA
1702703,aurora do tocantins,TO
1300300,autazes,AM
3504404,avanhandava,SP
3504503,avare,SP
3504305,avai,SP
1501006,aveiro,PA
2201101,avelino lopes,PI
5202809,avelinopolis,GO
