city_state_id,city_state,state_id
1,abadia de goias/GO,20
2,abadia dos dourados/MG,6
3,abadiania/GO,20
4,abaete/MG,6
5,abaetetuba/PA,15
6,abaiara/CE,12
7,abaira/BA,7
8,abare/BA,7
9,abatia/PR,26
10,abdon batista/SC,27
11,abel figueiredo/PA,15
12,abelardo luz/SC,27
13,abre campo/MG,6
14,abreu e lima/PE,9
15,abreulandia/TO,22
16,acaiaca/MG,6
17,acailandia/MA,14
18,acajutiba/BA,7
19,acara/PA,15
20,acarape/CE,12
21,acarau/CE,12
22,acari/RN,2
23,acaua/PI,13
24,acegua/RS,25
25,acopiara/CE,12
26,acorizal/MT,23
27,acrelandia/AC,3
28,acreuna/GO,20
29,acu/RN,2
30,acucena/MG,6
31,adamantina/SP,1
32,adelandia/GO,20
33,adolfo/SP,1
34,adrianopolis/PR,26
35,adustina/BA,7
36,afogados da ingazeira/PE,9
37,afonso bezerra/RN,2
38,afonso claudio/ES,5
39,afonso cunha/MA,14
40,afranio/PE,9
41,afua/PA,15
42,agrestina/PE,9
43,agricolandia/PI,13
44,agrolandia/SC,27
45,agronomica/SC,27
46,agua azul do norte/PA,15
47,agua boa/MG,6
48,agua boa/MT,23
49,agua branca/AL,10
50,agua branca/PB,11
51,agua branca/PI,13
52,agua clara/MS,24
53,agua comprida/MG,6
54,agua doce do maranhao/MA,14
55,agua doce do norte/ES,5
56,agua doce/SC,27
57,agua fria de goias/GO,20
58,agua fria/BA,7
59,agua limpa/GO,20
60,agua nova/RN,2
61,agua preta/PE,9
62,agua santa/RS,25
63,aguai/SP,1
64,aguanil/MG,6
65,aguas belas/PE,9
66,aguas da prata/SP,1
67,aguas de chapeco/SC,27
68,aguas de lindoia/SP,1
69,aguas de santa barbara/SP,1
70,aguas de sao pedro/SP,1
71,aguas formosas/MG,6
72,aguas frias/SC,27
73,aguas lindas de goias/GO,20
74,aguas mornas/SC,27
75,aguas vermelhas/MG,6
76,agudo/RS,25
77,agudos do sul/PR,26
78,agudos/SP,1
79,aguia branca/ES,5
80,aguiar/PB,11
81,aguiarnopolis/TO,22
82,aimores/MG,6
83,aiquara/BA,7
84,aiuaba/CE,12
85,aiuruoca/MG,6
86,ajuricaba/RS,25
87,alagoa grande/PB,11
88,alagoa nova/PB,11
89,alagoa/MG,6
90,alagoinha do piaui/PI,13
91,alagoinha/PB,11
92,alagoinha/PE,9
93,alagoinhas/BA,7
94,alambari/SP,1
95,albertina/MG,6
96,alcantara/MA,14
97,alcantaras/CE,12
98,alcantil/PB,11
99,alcinopolis/MS,24
100,alcobaca/BA,7
101,aldeias altas/MA,14
102,alecrim/RS,25
103,alegre/ES,5
104,alegrete do piaui/PI,13
105,alegrete/RS,25
106,alegria/RS,25
107,alem paraiba/MG,6
108,alenquer/PA,15
109,alexandria/RN,2
110,alexania/GO,20
111,alfenas/MG,6
112,alfredo chaves/ES,5
113,alfredo marcondes/SP,1
114,alfredo vasconcelos/MG,6
115,alfredo wagner/SC,27
116,algodao de jandaira/PB,11
117,alhandra/PB,11
118,alianca do tocantins/TO,22
119,alianca/PE,9
120,almadina/BA,7
121,almas/TO,22
122,almeirim/PA,15
123,almenara/MG,6
124,almino afonso/RN,2
125,almirante tamandare do sul/RS,25
126,almirante tamandare/PR,26
127,aloandia/GO,20
128,alpercata/MG,6
129,alpestre/RS,25
130,alpinopolis/MG,6
131,alta floresta d oeste/RO,21
132,alta floresta/MT,23
133,altair/SP,1
134,altamira do maranhao/MA,14
135,altamira do parana/PR,26
136,altamira/PA,15
137,altaneira/CE,12
138,alterosa/MG,6
139,altinho/PE,9
140,altinopolis/SP,1
141,alto alegre do maranhao/MA,14
142,alto alegre do pindare/MA,14
143,alto alegre dos parecis/RO,21
144,alto alegre/RR,18
145,alto alegre/RS,25
146,alto alegre/SP,1
147,alto araguaia/MT,23
148,alto bela vista/SC,27
149,alto boa vista/MT,23
150,alto caparao/MG,6
151,alto do rodrigues/RN,2
152,alto feliz/RS,25
153,alto garcas/MT,23
154,alto horizonte/GO,20
155,alto jequitiba/MG,6
156,alto longa/PI,13
157,alto paraguai/MT,23
158,alto paraiso de goias/GO,20
159,alto paraiso/PR,26
160,alto paraiso/RO,21
161,alto parana/PR,26
162,alto parnaiba/MA,14
163,alto piquiri/PR,26
164,alto rio doce/MG,6
165,alto rio novo/ES,5
166,alto santo/CE,12
167,alto taquari/MT,23
168,altonia/PR,26
169,altos/PI,13
170,aluminio/SP,1
171,alvaraes/AM,17
172,alvarenga/MG,6
173,alvares florence/SP,1
174,alvares machado/SP,1
175,alvaro de carvalho/SP,1
176,alvinlandia/SP,1
177,alvinopolis/MG,6
178,alvorada d oeste/RO,21
179,alvorada de minas/MG,6
180,alvorada do gurgueia/PI,13
181,alvorada do norte/GO,20
182,alvorada do sul/PR,26
183,alvorada/RS,25
184,alvorada/TO,22
185,amajari/RR,18
186,amambai/MS,24
187,amapa do maranhao/MA,14
188,amapa/AP,16
189,amapora/PR,26
190,amaraji/PE,9
191,amaral ferrador/RS,25
192,amaralina/GO,20
193,amarante do maranhao/MA,14
194,amarante/PI,13
195,amargosa/BA,7
196,amatura/AM,17
197,amelia rodrigues/BA,7
198,america dourada/BA,7
199,americana/SP,1
200,americano do brasil/GO,20
201,americo brasiliense/SP,1
202,americo de campos/SP,1
203,ametista do sul/RS,25
204,amontada/CE,12
