ID,order_id,payment_sequential,payment_type,payment_installments,payment_value
1,1,1,credit_card,8,99.33
2,2,1,credit_card,1,24.39
3,3,1,credit_card,1,65.71
4,4,1,credit_card,8,107.78
5,5,1,credit_card,2,128.45
6,6,1,credit_card,2,96.12
7,7,1,credit_card,1,81.16
8,8,1,credit_card,3,51.84
9,9,1,credit_card,6,341.09
10,10,1,boleto,1,51.95
11,11,1,credit_card,8,188.73
12,12,1,credit_card,1,141.90
13,13,1,credit_card,1,75.78
14,14,1,credit_card,5,102.66
15,15,1,credit_card,4,105.28
16,16,1,credit_card,10,157.45
17,17,1,credit_card,1,132.04
18,18,1,credit_card,1,98.94
19,19,1,credit_card,4,244.15
20,20,1,credit_card,3,136.71
21,21,1,credit_card,4,47.69
22,22,1,credit_card,2,170.57
23,23,1,credit_card,4,67.50
24,24,1,credit_card,10,353.09
25,25,1,boleto,1,330.66
26,26,2,voucher,1,45.17
27,27,1,credit_card,2,541.00
28,28,1,credit_card,2,139.22
29,29,1,credit_card,2,290.16
30,30,1,boleto,1,283.34
31,31,1,credit_card,1,13.78
32,32,1,credit_card,1,30.28
33,33,1,credit_card,1,26.58
34,34,1,credit_card,1,89.68
35,35,1,credit_card,1,65.09
36,36,1,credit_card,1,173.84
37,37,1,credit_card,1,103.49
38,38,1,credit_card,1,64.03
39,39,1,credit_card,3,157.15
40,40,1,boleto,1,130.88
41,41,1,credit_card,2,47.72
42,42,1,credit_card,8,117.74
43,43,1,boleto,1,56.60
44,44,1,credit_card,1,266.16
45,45,1,boleto,1,31.38
46,46,1,credit_card,1,121.49
47,47,1,credit_card,1,32.00
48,48,1,credit_card,5,153.41
49,49,1,credit_card,5,65.71
50,50,1,credit_card,4,278.22
51,51,1,credit_card,4,91.66
52,52,1,credit_card,1,132.51
53,53,1,credit_card,4,542.66
54,54,1,boleto,1,166.04
55,55,1,boleto,1,368.98
56,56,1,credit_card,2,113.20
57,57,1,credit_card,3,99.43
58,58,1,credit_card,2,27.35
59,59,1,credit_card,4,43.77
60,60,1,credit_card,2,68.49
61,61,1,credit_card,2,105.53
62,62,1,credit_card,8,387.80
63,63,1,boleto,1,84.14
64,64,1,credit_card,4,210.82
65,65,1,boleto,1,90.05
66,66,1,credit_card,1,67.88
67,67,1,credit_card,2,37.58
68,68,1,boleto,1,89.63
69,69,1,voucher,1,69.46
70,70,1,credit_card,2,78.30
71,71,1,voucher,1,50.80
72,72,1,credit_card,1,34.00
73,73,1,boleto,1,77.10
74,74,1,credit_card,5,566.40
75,75,1,credit_card,8,402.42
76,76,2,voucher,1,57.53
77,77,1,credit_card,3,44.01
78,78,1,credit_card,3,187.51
79,79,1,credit_card,3,77.70
80,80,1,credit_card,1,48.68
81,81,1,credit_card,1,77.29
82,82,1,credit_card,8,117.71
83,83,1,credit_card,3,169.34
84,84,1,credit_card,1,37.61
85,85,1,credit_card,1,13.80
86,86,1,debit_card,1,227.12
87,87,1,credit_card,3,34.78
88,88,1,credit_card,10,342.56
89,89,1,credit_card,7,73.34
90,90,1,credit_card,4,117.85
91,91,1,credit_card,1,48.62
92,92,1,credit_card,1,53.99
93,93,1,credit_card,1,51.14
94,94,1,credit_card,2,121.45
95,95,1,credit_card,1,73.34
96,96,1,credit_card,10,117.68
97,97,1,credit_card,1,56.77
98,98,1,credit_card,2,115.59
99,99,1,credit_card,6,60.07
100,100,1,credit_card,1,27.27
101,101,1,boleto,1,32.15
102,102,1,credit_card,3,195.71
103,103,2,voucher,1,43.12
104,104,1,credit_card,1,88.49
105,105,1,credit_card,3,34.09
106,106,1,credit_card,1,40.99
107,107,1,credit_card,3,71.99
108,108,1,boleto,1,47.00
109,109,1,credit_card,3,81.78
110,110,1,credit_card,3,231.45
111,111,1,credit_card,7,144.20
112,112,1,debit_card,1,35.14
113,113,1,credit_card,10,285.79
114,114,1,credit_card,2,176.70
115,115,1,credit_card,2,27.63
